AUTHOR,TITLE,GENRE,NOTES
"Hillenbrand, Laura ",Unbroken ,Non-fiction,
"Hinds, Gareth ",The Odyssey: A Graphic Novel,"Classics, graphic novel, adaptation",
"Hinton, S. E.",The Outsiders,Classics,
"Holm, Jennifer L. & Matthew",Sunny Side Up,"MG graphic novel, contemporary",
"Hood, Susan",Lifeboat 12,"MG historical fiction, adventure",
"Hoover, Colleen",It Ends with Us,Romance,Not on GR
"Hoover, Colleen",Verity,Romance,Not on GR
"Hoover, Colleen",Ugly Love,Romance,Not on GR
"Horikoshi, Kohei","My Hero Academia, Vol. 1","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 2","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 3","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 4","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 6","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 7","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 8","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 9","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 10","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 11","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 12","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 13","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 14","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 15","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 16","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 17","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 18","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 19","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 20","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 21","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 22","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 23","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 24","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 25","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 26","Manga, adventure",
"Horikoshi, Kohei","My Hero Academia, Vol. 27","Manga, adventure",
"Horowitz, Anthony",Stormbreaker,"YA contemporary, action/adventure",
"Horvath, Polly ",Everything on a Waffle,MG contemporary,
"Hunt, Lynda Mullaly ",Fish in a Tree,MG contemporary,
"Hutchinson, Shaun David",We Are the Ants,YA Sci/Fan,
"Huxley, Aldous",Brave New World,"Classic, science fiction",
"Ireland, Justina",Dread Nation,"YA historical fiction, science fiction, horror",
Johann Christoph Arnold,Why Forgive?,Non-fiction,
"John, Antony","The Other, Better Me",MG contemporary,
"Johnson, Jaleigh ",The Mark of the Dragonfly,MG fantasy,
"Johnson, Leah ",You Should See Me in a Crown,YA contemporary,
Jonah Newman,Out of Left Field,YA Graphic,
"Kaling, Mindy",Is everyone hanging out without me? (And Other Concerns),Adult memoir,
"Kang, Han",The Vegetarian,Literary fiction,
Karen McManus,One of Us is Lying,YA Fiction,
Kathryn Foxfield,"Tag, You're Dead",YA FIC FOXFIELD,
"Katsoulis, Gregory Scott",All Rights Reserved,"YA science fiction, dystopian",
"Kemmerer, Brigid",Defy the Night,YA fantasy,
"Kemmerer, Brigid",Letters to the Lost,"YA contemporary, romance",
"Kendi, Ibram X. ",Stamped from the Beginning,Non-fiction,
"Keyes, Daniel",Flowers for Algernon,Classics,
"Khoury, Jessica ",Kalahari,YA science fiction,
"Kibuishi, Kazu ",The Stonekeeper (Amulet #1),MG fantasy,
"Kilmeade, Brian & Don Yaeger",Thomas Jefferson & The Tripoli Pirates,YA non-fiction,
"King, Stephen ",Joyland,Adult horror,
"King, Stephen ",The Outsider,Adult horror,
"King, Stephen ",The Shining,Adult horror,
"Kiyosaki, Robert","Rich Dad, Poor Dad",Non-fiction,
"Klages, Ellen ",Out of Left Field,YA historical fiction,
"Koss, Amy Goldman",Poison Ivy,YA contemporary,
"Kreizman, David",The Year They Fell,YA contemporary,
"Kuper, Simon & Stefan Szymanski",Soccernomics,Non-fiction,
"LaMotte, Lily",Measuring Up,MG contemporary,
Laura Nowlin,If He Had Been With Me,YA FIC,
"Lauren, Christina",The House,"YA horror, retelling",
"Lawson, Liz",The Lucky Ones,YA contemporary,
"LaZebnik, Claire ",Things I Should Have Known,YA contemporary,
"Lee, Harper",To Kill A Mockingbird,Classics,
"Lee, Yoon Ha ",Dragon Pearl,MG fantasy,
"Lerner, Sarah",Parkland Speaks,YA non-fiction,
"Lord, Cynthia",A Handful of Stars,MG contemporary,
"Lore, Pittacus ",I am Number Four,YA science fiction,
"Lore, Pittacus ",The Power of Six,YA science fiction,
"Lore, Pittacus ",Nine's Legacy,YA science fiction,
"Lore, Pittacus ",Generation One,YA science fiction,
"Lore, Pittacus ",Five's Betrayal,YA science fiction,
"Lore, Pittacus ",The Fate of Ten,YA science fiction,
"Lowry, Lois",Gathering Blue,YA science fiction,
"Lowry, Lois",The Giver,YA science fiction,
"Lowry, Lois",Number the Stars,MG historical fiction,
"Lu, Marie",Warcross,YA science fiction,
